staff_id,department,grade,contract_type,fte,start_date,last_promotion_date,gender,ethnicity,exit_date
S00053,Legal and Governance,G8,Permanent,1.0,2021-03-25,,Female,White,
S00054,Commercial Services,G5,Fixed-term,0.78,2010-12-20,2015-12-19,Female,White,
S00055,Planning,G5,Permanent,0.63,2015-09-17,2021-09-15,Female,Other,
S00056,Communications,G7,Permanent,1.0,2020-11-29,,Male,White,
S00057,Procurement,G4,Fixed-term,1.0,2022-02-14,,Female,White,
S00058,Customer Services,G6,Permanent,0.81,2017-07-01,,Male,White,
S00059,Commercial Services,G3,Fixed-term,1.0,2017-05-04,,Female,White,
S00060,IT Services,G7,Permanent,0.37,2018-08-31,,Male,White,
S00061,Sales,G4,Fixed-term,1.0,2014-10-02,,Female,White,
S00062,Legal and Governance,G7,Permanent,1.0,2024-04-09,,Male,White,
S00063,HR,G3,Permanent,0.77,2023-11-23,,Male,White,
S00064,IT Services,G3,Fixed-term,1.0,2017-02-03,2020-02-03,Female,White,
S00065,Finance,G5,Permanent,1.0,2016-11-01,2022-10-31,Male,Mixed,
S00066,Commercial Services,G4,Permanent,1.0,2018-02-20,2022-02-19,Female,Black,
S00067,Research and Development,G4,Permanent,1.0,2019-08-29,2024-08-27,Female,White,
S00068,Communications,G6,Permanent,1.0,2019-04-12,,Female,White,
S00069,Finance,G4,Permanent,1.0,2021-10-19,,Male,Asian,
S00070,Sales,G5,Permanent,1.0,2018-08-10,,Female,White,
S00071,Communications,G5,Permanent,1.0,2021-05-18,,Female,White,
S00072,Sales,G9,Permanent,1.0,2022-02-16,,Male,White,
S00073,Estates,G5,Permanent,1.0,2016-10-08,,Female,White,2017-10-03
S00074,Marketing,G9,Permanent,1.0,2017-07-31,,Male,White,2023-05-24
S00075,IT Services,G6,Fixed-term,1.0,2016-12-23,2020-12-22,Male,Asian,
S00076,Estates,G4,Fixed-term,1.0,2010-03-02,2015-03-01,Female,White,
S00077,Commercial Services,G4,Permanent,0.68,2015-11-03,,F,Asian,
S00078,Security,G6,Permanent,1.0,2014-06-02,,Male,White,
S00079,Marketing,G5,Fixed-term,1.0,2015-06-14,,Male,White,
S00080,Estates,G4,Permanent,0.89,2023-07-15,,Female,Black,
S00081,Marketing,G6,Fixed-term,1.0,2022-08-14,,Male,White,2023-11-24
S00082,Finance,G7,Permanent,0.86,2018-07-23,,Male,Other,
S00083,Procurement,G6,Fixed-term,1.0,2008-02-05,,Female,White,
S00084,Commercial Services,G6,Permanent,1.0,2010-03-27,,Female,White,
S00085,Customer Services,G4,Permanent,1.0,2018-04-03,2024-04-01,Male,White,
S00086,Finance,G5,Permanent,1.0,2013-01-05,,Female,Mixed,
S00087,Security,G9,Permanent,1.0,2024-12-19,,Male,White,
S00088,Sales,5,Permanent,1.0,2024-05-31,,F,White,2024-12-29
S00089,Planning,G3,Permanent,0.67,2017-05-27,,Male,White,
S00090,Planning,G6,Permanent,1.0,2011-02-19,,Female,White,
S00091,Procurement,G3,Permanent,0.71,2021-03-31,,F,White,
S00092,IT Services,G8,Permanent,1.0,2024-05-31,,Male,White,
S00093,Commercial Services,G8,Permanent,1.0,2024-10-12,,Male,White,
S00094,Facilities,G6,Permanent,1.0,2022-07-10,,Male,White,
S00095,Security,G4,Permanent,1.0,2022-12-25,,Male,White,
S00096,Marketing,G4,Fixed-term,1.0,2011-08-21,,Male,White,
S00097,Procurement,G8,Permanent,1.0,2022-11-12,,Male,White,
S00098,Commercial Services,G7,Permanent,1.0,2019-10-06,,Female,White,
S00099,Commercial Services,G7,Permanent,1.0,2012-11-23,2017-11-22,Female,Other,
S00100,HR,G6,Permanent,1.0,2012-04-29,2015-04-29,Female,White,
S00101,Research and Development,G6,Permanent,1.0,2022-03-09,,Other,Other,2023-07-09
S00102,Estates,G3,Permanent,0.21,2016-07-04,2020-07-03,Female,White,
S00103,Marketing,G5,Fixed-term,1.0,2009-09-03,,Male,Black,
S00104,Communications,G5,Permanent,1.0,2011-11-16,,Male,White,
S00105,Estates,G5,Permanent,1.0,2019-12-02,,Other,White,
S00106,Sales,G5,Permanent,1.0,2016-02-18,,Female,White,
S00107,Estates,G4,Permanent,1.0,2016-07-09,,Male,White,
S00108,IT Services,G5,Permanent,1.0,2021-01-27,,Male,White,
S00109,Facilities,G4,Permanent,0.85,2022-07-08,,Male,White,2023-04-19
S00110,Legal and Governance,G6,Permanent,1.0,2023-12-22,,Male,Asian,
S00111,HR,G7,Permanent,1.0,2016-03-13,,F,White,
S00112,Estates,G4,Permanent,1.0,2014-10-18,,Male,White,
S00113,Finance,G5,Permanent,1.0,2018-08-01,,Male,White,
S00114,Facilities,G5,Permanent,1.0,2009-07-22,2013-07-21,Female,White,
S00115,Sales,G4,Permanent,1.0,2021-03-31,,Female,White,2024-03-25
S00116,Finance,G8,Permanent,1.0,2008-02-09,,Male,Asian,
S00117,IT Services,G3,Permanent,1.0,2021-11-13,,Male,White,
S00118,Estates,G5,Permanent,1.0,2022-06-23,,Female,White,
S00119,IT Services,G7,Permanent,1.0,2024-11-26,,Male,White,
S00120,Planning,G6,Permanent,1.0,2021-09-10,,Female,White,
S00121,Facilities,G9,Permanent,1.0,2024-06-10,,Male,Black,2024-06-27
S00122,Customer Services,G3,Permanent,1.0,2009-07-08,2012-07-07,M,White,
S00123,Research and Development,G7,Fixed-term,1.0,2016-10-19,,Male,White,
S00124,Finance,G7,Permanent,0.36,2020-09-15,2026-09-14,Female,White,
S00125,Security,G5,Fixed-term,1.0,2019-01-27,,Male,White,
S00126,Sales,G6,Permanent,1.0,2023-03-18,,Female,White,
S00127,Facilities,G5,Permanent,1.0,2023-06-08,,Female,Other,
S00128,Commercial Services,G9,Permanent,1.0,2010-12-10,,Female,White,
S00129,Commercial Services,G5,Permanent,1.0,2011-02-09,,Female,White,
S00130,Marketing,G6,Fixed-term,1.0,2018-11-02,2022-11-01,Male,Asian,
S00131,Procurement,G8,Permanent,0.44,2021-08-18,,Female,White,
S00132,Facilities,G6,Permanent,1.0,2021-07-15,,Male,White,
S00133,Communications,G3,Permanent,1.0,2015-02-22,,Female,White,
S00134,Estates,G5,Fixed-term,0.32,2010-04-24,,Female,White,
S00135,Customer Services,G3,Permanent,1.0,2014-02-20,,Female,White,
S00136,Communications,G6,Permanent,1.0,2019-08-18,,Female,White,
S00137,Security,G5,Permanent,1.0,2021-05-02,2027-05-01,Female,White,
S00138,Communications,G6,Permanent,1.0,2019-10-22,2025-10-20,Male,White,
S00139,IT Services,G6,Permanent,1.0,2015-09-27,,Female,White,
S00140,HR,G5,Permanent,1.0,2021-07-02,,Female,Black,
S00141,Planning,G5,Permanent,1.0,2018-11-26,,Male,Asian,
S00142,Communications,G3,Fixed-term,1.0,2016-05-30,,Male,White,2018-08-25
S00143,Communications,G5,Permanent,0.7,2019-05-27,,Female,White,
S00144,Communications,G6,Fixed-term,0.36,2015-04-06,,Female,White,
S00145,Finance,G6,Permanent,1.0,2018-06-14,,Male,Asian,
S00146,IT Services,G5,Permanent,1.0,2020-06-29,,Female,White,
S00147,Facilities,G5,Permanent,1.0,2021-03-23,2027-03-22,Male,White,
S00148,Customer Services,G5,Permanent,1.0,2018-12-14,,Female,Asian,
S00149,Customer Services,G4,Permanent,1.0,2024-01-14,,Female,White,
S00150,Sales,G5,Fixed-term,1.0,2014-09-09,2017-09-08,Male,White,
S00151,Finance,G7,Permanent,1.0,2014-06-27,,Male,White,
S00152,Procurement,G6,Permanent,1.0,2015-04-25,2019-04-24,Female,White,
S00153,Research and Development,G6,Fixed-term,1.0,2011-02-14,,Male,White,2020-01-19
S00154,Communications,G3,Fixed-term,1.0,2019-08-19,,Male,Asian,
S00155,Legal and Governance,G7,Permanent,1.0,2017-01-29,,Male,White,
S00156,Sales,G8,Permanent,1.0,2014-02-10,,Female,Mixed,
S00157,Research and Development,G5,Permanent,1.0,2023-03-20,,Female,White,2024-12-18
S00158,Communications,G3,Permanent,1.0,2019-10-23,,Male,White,
S00159,Communications,G6,Permanent,1.0,2014-05-06,,Male,White,
S00160,Estates,G5,Permanent,0.3,2018-06-10,,Female,White,
S00161,Marketing,G3,Permanent,0.46,2011-08-19,2016-08-17,F,Asian,
S00162,Communications,G7,Fixed-term,1.0,2020-04-07,,Female,Other,
S00163,HR,G8,Permanent,1.0,2024-04-20,,Male,White,
S00164,Facilities,G5,Permanent,1.0,2010-03-10,,Male,Asian,
S00165,Research and Development,G4,Permanent,0.79,2010-09-16,,Female,White,
S00166,Finance,G5,Fixed-term,1.0,2018-07-07,2024-07-05,Male,White,
S00167,Customer Services,G5,Permanent,1.0,2018-09-21,,Female,White,
S00168,Communications,G5,Permanent,0.71,2017-09-08,,Female,White,
S00169,Legal and Governance,G7,Permanent,1.0,2019-01-14,,Male,Other,
S00170,IT Services,G3,Permanent,0.67,2017-11-14,,Male,White,
S00171,IT Services,G5,Permanent,0.46,2016-04-14,,Male,White,
S00172,IT Services,G4,Permanent,1.0,2019-09-27,,M,White,
S00173,Facilities,G8,Permanent,1.0,2021-05-16,,Male,White,
S00174,Commercial Services,G5,Permanent,1.0,2012-12-26,,M,White,
S00175,Sales,G6,Permanent,0.69,2023-07-22,,Male,Asian,
S00176,Customer Services,G5,Permanent,1.0,2017-04-14,,Female,White,
S00177,Procurement,Grade 4,Permanent,1.0,2023-04-26,,Female,White,
S00178,Planning,G3,Permanent,1.0,2023-07-28,,Male,White,
S00179,Sales,5,Permanent,1.0,2021-11-30,,Male,Asian,
S00180,IT Services,G8,Permanent,1.0,2023-07-23,,Male,Mixed,
S00181,HR,G5,Permanent,1.0,2023-06-21,,Male,White,
S00182,Communications,G6,Permanent,1.0,2010-03-25,,Male,Mixed,
S00183,Sales,G6,Permanent,1.0,2018-11-24,,Female,White,
S00184,IT Services,G4,Permanent,1.0,2013-05-14,,Female,White,
S00185,Research and Development,G4,Permanent,1.0,2013-12-08,,Female,White,2017-05-17
S00186,Customer Services,G4,Fixed-term,1.0,2017-08-21,,Male,Mixed,
S00187,Research and Development,G6,Permanent,1.0,2013-11-02,2019-11-01,Male,White,
S00188,Finance,G7,Fixed-term,1.0,2012-10-01,,Female,Mixed,2020-02-09
S00189,Marketing,Grade 8,Permanent,1.0,2009-03-09,,Male,White,
S00190,Procurement,G5,Fixed-term,1.0,2021-10-24,,Female,Asian,2024-03-09
S00191,Finance,G8,Permanent,1.0,2016-03-10,,Other,Mixed,
S00192,Customer Services,G7,Fixed-term,1.0,2015-12-16,,F,Other,
S00193,Commercial Services,G5,Permanent,1.0,2024-01-02,,Male,White,
S00194,Customer Services,G4,Permanent,1.0,2011-04-07,,Male,White,
S00195,Planning,G8,Permanent,1.0,2012-02-21,,Male,White,
S00196,HR,G5,Permanent,1.0,2021-01-29,,Male,White,
S00197,Research and Development,G7,Permanent,1.0,2013-03-15,,Male,White,
S00198,Legal and Governance,G6,Permanent,0.4,2019-10-12,,Female,White,
S00199,Estates,G4,Permanent,0.87,2021-08-31,2025-08-30,Male,White,
S00200,Research and Development,G4,Permanent,1.0,2012-11-27,,Male,Other,2022-12-29
S00201,Sales,G6,Permanent,1.0,2022-04-07,,Male,White,
S00202,Communications,G4,Fixed-term,0.41,2012-04-07,2018-04-06,Female,White,
S00203,Sales,G5,Permanent,1.0,2017-11-29,2023-11-28,Male,White,
S00204,Planning,G5,Permanent,1.0,2014-01-24,2018-01-23,Male,Asian,
S00205,Procurement,G5,Permanent,1.0,2013-10-19,,Male,White,
S00206,Communications,G9,Permanent,1.0,2017-03-28,,Male,White,
S00207,Communications,G9,Fixed-term,1.0,2017-02-08,,Male,White,
S00208,Sales,G6,Permanent,1.0,2017-07-11,,Female,Asian,2024-09-04
S00209,HR,G5,Permanent,1.0,2017-05-21,,Female,White,
S00210,Security,G4,Fixed-term,1.0,2017-05-04,2022-05-03,M,White,2023-03-30
S00211,Estates,5,Fixed-term,1.0,2013-12-17,2016-12-16,Female,White,
S00212,HR,G3,Permanent,0.49,2017-08-11,,Female,White,
S00213,IT Services,G8,Permanent,1.0,2018-05-19,,M,Mixed,2019-03-19
S00214,IT Services,G8,Permanent,1.0,2012-03-14,,Male,White,
S00215,Sales,G7,Permanent,1.0,2023-06-19,,Female,White,
S00216,Planning,G5,Permanent,0.32,2013-02-08,,M,White,
S00217,Sales,G9,Permanent,1.0,2015-07-12,,Male,White,
S00218,Communications,G6,Permanent,1.0,2011-12-31,2017-12-29,Female,White,
S00219,Sales,G5,Permanent,1.0,2011-04-06,,Female,White,
S00220,Research and Development,G5,Fixed-term,1.0,2022-01-07,,F,White,
S00221,Commercial Services,G6,Permanent,1.0,2015-03-13,,Male,Black,
S00222,Sales,G6,Permanent,1.0,2023-11-17,,Female,White,
S00223,Customer Services,G7,Permanent,0.89,2022-08-14,,Female,White,
S00224,Commercial Services,G4,Permanent,1.0,2024-06-12,,Female,White,
S00225,Customer Services,G7,Permanent,1.0,2010-10-16,,Male,White,
S00226,Procurement,G8,Permanent,1.0,2021-12-21,,Male,White,2024-04-06
S00227,IT Services,G5,Permanent,1.0,2016-11-02,,Female,White,
S00228,Research and Development,G7,Permanent,1.0,2023-10-02,,Male,White,
S00229,IT Services,G6,Permanent,0.33,2019-11-28,,Female,White,
S00230,Marketing,G5,Permanent,1.0,2018-08-17,,Female,White,
S00231,Commercial Services,G6,Permanent,1.0,2023-02-13,,Male,White,2023-07-08
S00232,Customer Services,G4,Fixed-term,1.0,2016-02-04,,Male,White,
S00233,Facilities,G4,Fixed-term,1.0,2013-03-31,,Male,White,
S00234,Legal and Governance,G4,Permanent,1.0,2016-11-10,,Female,Asian,
S00235,Sales,G6,Permanent,1.0,2018-10-02,,Female,White,
S00236,Marketing,G6,Permanent,1.0,2018-10-28,,Female,Black,
S00237,Communications,G7,Permanent,1.0,2019-06-10,,Female,White,
S00238,Estates,G4,Permanent,0.25,2012-11-21,,Male,White,
S00239,IT Services,G7,Permanent,1.0,2022-01-05,,Female,White,
S00240,Estates,G6,Permanent,1.0,2016-03-26,,Male,White,2016-07-30
S00241,Sales,G6,Permanent,1.0,2021-09-11,2024-09-10,Female,White,
S00242,Research and Development,G7,Permanent,0.83,2016-04-21,,Male,Other,
S00243,Estates,G5,Fixed-term,0.78,2016-03-01,2021-02-28,Female,Other,
S00244,Planning,G7,Permanent,1.0,2018-09-30,,Female,White,
S00245,Sales,G8,Fixed-term,0.46,2019-02-18,,Male,White,2023-09-30
S00246,Sales,G6,Permanent,1.0,2021-12-13,2026-12-12,Female,Black,
S00247,Communications,G6,Permanent,0.3,2021-12-22,,Female,White,
S00248,Procurement,G6,Permanent,1.0,2019-07-03,,Female,Asian,
S00249,Marketing,G5,Permanent,1.0,2018-03-08,,Male,Asian,
S00250,Finance,G7,Permanent,1.0,2011-03-22,2017-03-20,Male,White,
S00251,Facilities,G4,Fixed-term,1.0,2014-12-02,2018-12-01,Male,White,
S00252,Planning,G5,Permanent,1.0,2010-04-20,2014-04-19,Male,Asian,
S00253,Customer Services,G4,Fixed-term,1.0,2019-09-02,,Female,White,2021-10-25
S00254,Customer Services,G7,Fixed-term,1.0,2019-12-13,,Female,White,2022-12-03
S00255,IT Services,G6,Fixed-term,1.0,2018-08-15,2021-08-14,F,White,
S00256,Customer Services,G5,Fixed-term,1.0,2013-11-27,,Female,Asian,2020-02-10
S00257,HR,G7,Fixed-term,1.0,2012-11-06,,Female,Mixed,
S00258,Commercial Services,G5,Permanent,0.24,2017-11-01,,Female,Black,2017-12-20
S00259,Customer Services,G7,Permanent,1.0,2024-02-07,,Male,White,2024-03-12
S00260,Estates,G5,Fixed-term,1.0,2021-08-05,2025-08-04,Male,Mixed,
S00261,IT Services,G7,Permanent,1.0,2015-11-21,,Female,White,
S00262,Commercial Services,G4,Permanent,1.0,2023-03-01,,Female,White,
S00263,IT Services,G7,Permanent,1.0,2012-06-26,,Male,Asian,
S00264,Planning,G4,Fixed-term,1.0,2021-01-16,,F,White,
S00265,Legal and Governance,G5,Permanent,0.8,2009-10-18,2012-10-17,Female,Other,
S00266,HR,G7,Permanent,0.46,2009-07-06,,Female,Asian,
S00267,Planning,G5,Permanent,1.0,2016-06-12,2021-06-11,Male,Mixed,
S00268,IT Services,G6,Permanent,1.0,2016-08-26,,Male,White,
S00269,Customer Services,G4,Fixed-term,1.0,2021-05-05,,Female,White,
S00270,Communications,G7,Permanent,0.86,2008-07-28,,Male,White,2020-09-19
S00271,Facilities,G7,Permanent,0.49,2010-09-29,,M,White,
S00272,HR,G4,Fixed-term,1.0,2016-07-09,,Female,White,
S00273,Estates,G6,Permanent,0.32,2019-03-08,2024-03-06,Male,White,
S00274,Estates,G5,Fixed-term,1.0,2011-10-27,,Male,White,2014-03-10
S00275,Planning,G5,Permanent,0.81,2022-02-16,,Female,White,
S00276,Customer Services,G3,Permanent,0.21,2015-09-20,,Female,Asian,2019-01-26
S00277,Planning,G4,Permanent,0.24,2021-03-13,,F,White,2021-07-17
S00278,Legal and Governance,G6,Permanent,0.63,2013-02-08,,Male,White,2014-07-21
S00279,IT Services,G8,Permanent,1.0,2023-08-10,,Male,Asian,
S00280,IT Services,G4,Permanent,1.0,2023-01-18,,Male,White,
S00281,Marketing,G4,Permanent,1.0,2016-11-25,,Male,Black,
S00282,Commercial Services,G7,Permanent,1.0,2017-09-06,,Male,Asian,
S00283,Legal and Governance,G3,Fixed-term,0.49,2014-08-30,,Female,White,
S00284,Sales,G7,Fixed-term,1.0,2009-04-23,,Female,White,
S00285,IT Services,G5,Permanent,0.37,2021-07-03,2026-07-02,Male,Other,
S00286,Commercial Services,G8,Permanent,1.0,2014-09-09,,Male,White,2015-04-27
S00287,Security,G4,Permanent,0.43,2020-06-14,,Male,White,2021-04-12
S00288,Commercial Services,G5,Fixed-term,0.42,2016-02-21,,M,Black,
S00289,Marketing,G4,Fixed-term,1.0,2018-11-11,2022-11-10,Female,White,
S00290,IT Services,G3,Fixed-term,0.27,2018-10-18,,Male,White,2022-05-13
S00291,IT Services,G7,Permanent,0.8,2024-03-26,,Male,Mixed,
S00292,HR,G4,Permanent,1.0,2015-02-25,2021-02-23,Male,White,
S00293,Marketing,G5,Permanent,1.0,2010-09-03,,Male,Black,
S00294,Communications,G3,Permanent,1.0,2013-02-23,,Female,White,2016-12-17
S00295,Commercial Services,G5,Fixed-term,0.65,2023-12-27,,Female,Mixed,2024-11-25
S00296,IT Services,G6,Permanent,1.0,2020-05-15,,Female,White,
S00297,Marketing,G3,Permanent,1.0,2010-12-05,,Female,White,
S00298,Commercial Services,G5,Permanent,1.0,2021-08-30,,Female,White,
S00299,Communications,G5,Permanent,1.0,2013-08-27,,Male,White,
S00300,Finance,G6,Permanent,0.73,2016-10-28,2022-10-27,Female,White,
S00301,Estates,G8,Permanent,0.8,2010-01-18,,Male,Black,
S00302,Planning,G4,Fixed-term,1.0,2024-04-08,,Male,White,2024-11-10
S00303,Finance,G5,Permanent,1.0,2020-02-04,,Female,Asian,2023-03-19
S00304,Communications,Grade 6,Permanent,0.37,2017-08-03,2020-08-02,Female,White,
S00305,Research and Development,G5,Permanent,1.0,2015-09-06,,Female,White,
S00306,Facilities,G5,Permanent,0.47,2022-12-20,,Female,White,
S00307,Sales,G4,Permanent,0.33,2019-02-20,2024-02-19,Female,Asian,
S00308,Estates,G6,Permanent,0.85,2012-07-27,,Male,White,
S00309,Sales,G6,Permanent,1.0,2022-10-19,,Male,White,2023-05-04
S00310,HR,G5,Permanent,1.0,2015-08-26,,Female,White,
S00311,Legal and Governance,G4,Fixed-term,1.0,2018-06-29,,Female,White,
S00312,HR,G3,Fixed-term,1.0,2021-04-20,,Male,White,
S00313,HR,G6,Permanent,1.0,2008-03-08,,Female,White,
S00314,Sales,G8,Permanent,1.0,2016-07-11,,Female,Asian,
S00315,Legal and Governance,G5,Permanent,1.0,2024-07-10,,Female,White,
S00316,Customer Services,G5,Permanent,1.0,2014-12-02,,Male,White,
S00317,Communications,G7,Permanent,1.0,2018-12-05,,Female,Asian,
S00318,Security,G5,Fixed-term,1.0,2018-10-20,,Male,White,
S00319,Estates,G8,Permanent,1.0,2014-03-29,,Male,White,
S00320,Sales,G7,Permanent,1.0,2012-12-14,,Female,White,
S00321,Estates,G7,Permanent,0.78,2018-08-26,,Female,Black,
S00322,Communications,G6,Fixed-term,1.0,2015-06-02,,Male,White,
S00323,Commercial Services,G7,Fixed-term,1.0,2011-04-03,,Other,White,
S00324,HR,G4,Fixed-term,1.0,2012-03-22,,Female,White,
S00325,Estates,9,Permanent,0.83,2009-04-13,,Male,White,
S00326,HR,G7,Permanent,1.0,2022-06-09,,Male,White,
S00327,Sales,G4,Fixed-term,1.0,2018-06-22,,Female,Asian,
S00328,Planning,G4,Fixed-term,1.0,2022-01-10,,Other,White,2022-10-05
S00329,Procurement,G7,Permanent,1.0,2019-10-01,,Male,White,
S00330,HR,G3,Permanent,1.0,2011-05-10,,Female,Asian,
S00331,Facilities,G6,Permanent,1.0,2018-03-12,,Male,White,
S00332,Communications,G6,Permanent,1.0,2021-09-25,,Male,White,
S00333,Communications,G6,Permanent,0.8,2013-01-07,,Female,White,
S00334,Marketing,G6,Permanent,1.0,2013-04-29,,Female,White,
S00335,Communications,G7,Permanent,1.0,2019-08-07,,Female,Asian,
S00336,Facilities,G4,Permanent,1.0,2016-11-14,,Female,Black,
S00337,Estates,G5,Fixed-term,1.0,2019-09-02,,Female,White,
S00338,HR,G8,Permanent,1.0,2016-10-29,,Female,White,
S00339,Legal and Governance,G8,Permanent,0.73,2020-03-07,,Male,Asian,
S00340,HR,G7,Permanent,0.76,2021-10-17,,Female,White,
S00341,Estates,G7,Permanent,1.0,2019-11-25,,Male,White,
S00342,Facilities,G4,Fixed-term,1.0,2022-03-26,,Other,White,2023-08-11
S00343,Research and Development,G5,Fixed-term,0.73,2010-08-16,,Female,White,
S00344,Facilities,G3,Permanent,0.39,2018-01-01,,Female,White,
S00345,Facilities,G5,Permanent,1.0,2022-04-25,,Male,White,
S00346,Customer Services,G5,Permanent,0.29,2019-01-02,,Male,White,
S00347,HR,G4,Permanent,0.32,2020-07-28,2023-07-28,Male,White,2023-12-31
S00348,Procurement,G3,Permanent,1.0,2023-12-11,,Female,Asian,
S00349,IT Services,G6,Permanent,1.0,2009-08-10,,Male,Mixed,
S00350,Research and Development,G7,Permanent,0.73,2015-11-04,,Male,White,
S00351,Sales,G5,Permanent,0.75,2014-03-10,,Male,White,
S00352,Sales,G7,Permanent,1.0,2012-04-17,,Male,White,
S00353,Facilities,G9,Permanent,1.0,2019-06-15,,Male,Other,
S00354,Procurement,G6,Fixed-term,1.0,2017-08-05,,Male,Mixed,
S00355,IT Services,G6,Permanent,1.0,2014-05-09,2019-05-08,Female,White,
S00356,Estates,G6,Permanent,1.0,2018-04-25,,Male,White,
S00357,Sales,G6,Fixed-term,1.0,2015-12-17,,Male,Asian,
S00358,Planning,G7,Permanent,1.0,2023-12-27,,Female,White,
S00359,Procurement,G4,Permanent,1.0,2024-02-08,,Male,White,2024-05-06
S00360,Sales,G4,Fixed-term,0.38,2008-08-26,2012-08-25,Female,White,
S00361,Communications,G5,Fixed-term,1.0,2018-02-07,,Male,White,
S00362,Marketing,G5,Permanent,1.0,2010-04-24,,Female,White,
S00363,Legal and Governance,G5,Permanent,0.38,2021-11-29,,Female,Mixed,2023-11-07
S00364,Facilities,G5,Fixed-term,1.0,2023-07-17,,Male,Other,2024-05-01
S00365,Marketing,G6,Permanent,1.0,2019-06-14,,Male,White,
S00366,HR,G3,Permanent,1.0,2021-12-17,2027-12-16,Male,White,
S00367,IT Services,G5,Permanent,1.0,2010-01-28,2013-01-27,Male,Asian,
S00368,Customer Services,G6,Permanent,1.0,2008-12-10,2011-12-10,Female,White,
S00369,Finance,G8,Permanent,0.31,2021-06-04,,Male,White,
